1	Fed official says weak data caused by weather, should not slow taper	http://www.latimes.com/business/money/la-fi-mo-federal-reserve-plosser-stimulus-economy-20140310,0,1312750.story\?track=rss	Los Angeles Times	b	ddUyU0VZz0BRneMioxUPQVP6sIxvM	www.latimes.com	1394470370698
2	Fed's Charles Plosser sees high bar for change in pace of tapering	http://www.livemint.com/Politics/H2EvwJSK2VE6OF7iK1g3PP/Feds-Charles-Plosser-sees-high-bar-for-change-in-pace-of-ta.html	Livemint	b	ddUyU0VZz0BRneMioxUPQVP6sIxvM	www.livemint.com	1394470371207
3	US open: Stocks fall after Fed official hints at accelerated tapering	http://www.ifamagazine.com/news/us-open-stocks-fall-after-fed-official-hints-at-accelerated-tapering-294436	IFA Magazine	b	ddUyU0VZz0BRneMioxUPQVP6sIxvM	www.ifamagazine.com	1394470371550
4	Fed risks falling 'behind the curve', Charles Plosser says	http://www.ifamagazine.com/news/fed-risks-falling-behind-the-curve-charles-plosser-says-294430	IFA Magazine	b	ddUyU0VZz0BRneMioxUPQVP6sIxvM	www.ifamagazine.com	1394470371793
5	Fed's Plosser: Nasty Weather Has Curbed Job Growth	http://www.moneynews.com/Economy/federal-reserve-charles-plosser-weather-job-growth/2014/03/10/id/557011	Moneynews	b	ddUyU0VZz0BRneMioxUPQVP6sIxvM	www.moneynews.com	1394470372027
6	Plosser: Fed May Have to Accelerate Tapering Pace	http://www.nasdaq.com/article/plosser-fed-may-have-to-accelerate-tapering-pace-20140310-00371	NASDAQ	b	ddUyU0VZz0BRneMioxUPQVP6sIxvM	www.nasdaq.com	1394470372212
7	Fed's Plosser: Taper pace may be too slow	http://www.marketwatch.com/story/feds-plosser-taper-pace-may-be-too-slow-2014-03-10\?reflink=MW_news_stmp	MarketWatch	b	ddUyU0VZz0BRneMioxUPQVP6sIxvM	www.marketwatch.com	1394470372405
8	Fed's Plosser expects US unemployment to fall to 6.2% by the end of 2014	http://www.fxstreet.com/news/forex-news/article.aspx\?storyid=23285020-b1b5-47ed-a8c4-96124bb91a39	FXstreet.com	b	ddUyU0VZz0BRneMioxUPQVP6sIxvM	www.fxstreet.com	1394470372615
9	US jobs growth last month hit by weather:Fed President Charles Plosser	http://economictimes.indiatimes.com/news/international/business/us-jobs-growth-last-month-hit-by-weatherfed-president-charles-plosser/articleshow/31788000.cms	Economic Times	b	ddUyU0VZz0BRneMioxUPQVP6sIxvM	economictimes.indiatimes.com	1394470372792
10	ECB unlikely to end sterilisation of SMP purchases - traders	http://www.iii.co.uk/news-opinion/reuters/news/152615	Interactive Investor	b	dPhGU51DcrolUIMxbRm0InaHGA2XM	www.iii.co.uk	1394470501265
11	ECB unlikely to end sterilization of SMP purchases: traders	http://in.reuters.com/article/2014/03/10/us-ecb-refi-poll-idINBREA290VH20140310	Reuters India	b	dPhGU51DcrolUIMxbRm0InaHGA2XM	in.reuters.com	1394470501410
12	EU's half-baked bank union could work	http://blogs.reuters.com/hugo-dixon/2014/03/10/eus-half-baked-bank-union-could-work/	Reuters UK \(blog\)	b	dPhGU51DcrolUIMxbRm0InaHGA2XM	blogs.reuters.com	1394470501587
13	Europe reaches crunch point on banking union	http://in.reuters.com/article/2014/03/10/eu-banks-resoluton-idINL6N0M71NJ20140310	Reuters	b	dPhGU51DcrolUIMxbRm0InaHGA2XM	in.reuters.com	1394470501755
14	ECB FOCUS-Stronger euro drowns out ECB's message to keep rates low for  ...	http://in.reuters.com/article/2014/03/10/ecb-policy-idINL6N0M71K320140310	Reuters	b	dPhGU51DcrolUIMxbRm0InaHGA2XM	in.reuters.com	1394470501948
15	EU aims for deal on tackling failing banks	http://main.omanobserver.om/\?p=63376	Oman Daily Observer	b	dPhGU51DcrolUIMxbRm0InaHGA2XM	main.omanobserver.om	1394470502141
16	Forex - Pound drops to one-month lows against euro	http://www.nasdaq.com/article/forex-pound-drops-to-onemonth-lows-against-euro-cm333750	NASDAQ	b	dPhGU51DcrolUIMxbRm0InaHGA2XM	www.nasdaq.com	1394470502316
17	Noyer Says Strong Euro Creates Unwarranted Economic Pressure	http://www.sfgate.com/business/bloomberg/article/Noyer-Says-Strong-Euro-Creates-Unwarranted-5303474.php	San Francisco Chronicle	b	dPhGU51DcrolUIMxbRm0InaHGA2XM	www.sfgate.com	1394470502543
18	EU Week Ahead March 10-14: Bank Resolution, Transparency, Ukraine	http://blogs.wsj.com/brussels/2014/03/10/eu-week-ahead-march-10-14-bank-resolution-transparency-ukraine/	Wall Street Journal \(blog\)	b	dPhGU51DcrolUIMxbRm0InaHGA2XM	blogs.wsj.com	1394470502744
19	ECB member Noyer is 'very open to all kinds of tools'	http://www.ifamagazine.com/news/ecb-member-noyer-is-very-open-to-all-kinds-of-tools-294431	IFA Magazine	b	dPhGU51DcrolUIMxbRm0InaHGA2XM	www.ifamagazine.com	1394470502946
20	Euro Anxieties Wane as Bunds Top Treasuries, Spain Debt Rallies	http://www.businessweek.com/news/2014-03-10/german-bonds-beat-treasuries-with-yield-spread-widest-in-7-years	Businessweek	b	dPhGU51DcrolUIMxbRm0InaHGA2XM	www.businessweek.com	1394470503148
21	Noyer Says Strong Euro Creates Unwarranted Economic Pressure (1)	http://www.businessweek.com/news/2014-03-10/noyer-says-stronger-euro-creates-unwarranted-pressure-on-economy	Businessweek	b	dPhGU51DcrolUIMxbRm0InaHGA2XM	www.businessweek.com	1394470503366
